Price,Ratings,Reviews,Title,edition_type,edition_month,edition_year,Author1,Author2,Author3,Author4,Author5,Author6,Author7,BookCategory1,BookCategory2,Genre1,Genre2
220.0,8,4.0,5802,13,7,2016,797,2947,2947,2947,2947,2947,2947,0,12,0,262
202.93,14,3.9,2120,13,10,2012,391,2947,2947,2947,2947,2947,2947,2,6,80,262
299.0,6,4.8,2984,13,3,1982,4354,2947,2947,2947,2947,2947,2947,8,12,211,262
180.0,13,4.1,189,13,11,2017,78,2947,2947,2947,2947,2947,2947,5,16,98,262
965.62,1,5.0,2987,8,11,2006,1221,2947,2947,2947,2947,2947,2947,1,7,284,262
900.0,8,4.5,1045,13,8,2009,950,2947,2947,2947,2947,2947,2947,15,12,177,262
224.0,72,4.4,1341,13,11,2017,78,2947,2947,2947,2947,2947,2947,5,16,102,363
836.0,16,4.7,6727,8,7,2018,4065,2947,2947,2947,2947,2947,2947,15,12,346,262
130.0,111,4.2,2762,13,2,2015,2528,2947,2947,2947,2947,2947,2947,2,6,38,262
695.0,1,4.0,5455,13,7,2013,2733,2947,2947,2947,2947,2947,2947,0,12,0,262
373.0,132,4.9,673,13,4,2017,3444,2947,2947,2947,2947,2947,2947,10,11,26,262
309.0,17,3.5,805,13,6,2018,1137,140,2947,2947,2947,2947,2947,4,9,32,262
379.0,4,4.1,4695,13,5,1999,1808,2947,2947,2947,2947,2947,2947,0,12,0,262
1066.0,3,5.0,4861,13,10,2002,4651,2947,2947,2947,2947,2947,2947,15,12,26,262
381.22,5,3.8,458,13,12,2011,2810,2947,2947,2947,2947,2947,2947,14,12,0,262
287.0,2,5.0,4664,13,3,2015,2724,2947,2947,2947,2947,2947,2947,3,12,89,262
162.0,1,5.0,3420,8,7,2018,767,3670,2947,2947,2947,2947,2947,5,16,71,262
587.0,23,4.9,3481,13,10,2016,4275,2947,2947,2947,2947,2947,2947,3,12,243,262
291.0,76,4.5,5997,12,4,1991,4613,2947,2947,2947,2947,2947,2947,2,6,38,262
